1000.001,Project Apex Skyline – Commercial High-Rise
1000.002,Project Apex Skyline – Residential High-Rise
1000.003,Project Apex Skyline – Warehouse
1000.004,Project Apex Skyline – University
1001.001,Willow Creek Residential Campus – Suburban Housing Development
1002.001,The Vanguard Logistics Hub – Industrial Warehouse Construction
1003.001,Greenstone Urban Center – Mixed-Use Community Project
1004.001,Pinnacle Point Restoration – Historic Building Refurbishment
1005.001,Riverbend Community Center – Public Institutional Facility
1006.001,Titan Valley Tech Park – Modern Office Park Construction
1007.001,Starlite Residential Lofts – Luxury Apartment Development
1008.001,Clearwater Bridge Expansion – Infrastructure & Civil Works
1009.001,Apex Plaza Expansion – Commercial Renovation
